رتبه,بازیکن,باشگاه,گل
۱,جیمی فلوید هاسلبنک,لیدز یونایتد,۱۸
۱,مایکل اوون,لیورپول,۱۸
۱,دوایت یورک,منچستر یونایتد,۱۸
۴,نیکولا آنلکا,آرسنال,۱۷
۴,اندرو کول,منچستر یونایتد,۱۷
۶,همیلتون ریکارد,میدلزبورو,۱۵
7,دیون دابلین,استون ویلا,۱۴
7,رابی فاولر,لیورپول,۱۴
7,جولیان جواچیم,استون ویلا,۱۴
7,آلن شیرر,نیوکاسل,۱۴
