Team,Location,Stadium,Capacity
Arsenal,London (Holloway),Emirates Stadium,59867
Bournemouth,Bournemouth,Vitality Stadium,11360
Brighton & Hove Albion,Falmer,Falmer Stadium,30666
Burnley,Burnley,Turf Moor,21944
Chelsea,London (Fulham),Stamford Bridge,41631
Crystal Palace,London (Selhurst),Selhurst Park,"25,456[24]"
Everton,Liverpool (Walton),Goodison Park,39595
Huddersfield Town,Huddersfield,Kirklees Stadium,24169
Leicester City,Leicester,King Power Stadium,32273
Liverpool,Liverpool (Anfield),Anfield,53394
Manchester City,Manchester (Bradford),City of Manchester Stadium,55017
Manchester United,Greater Manchester (Old Trafford),Old Trafford,74994
Newcastle United,Newcastle upon Tyne,St James' Park,52354
Southampton,Southampton,St Mary's Stadium,32384
Stoke City,Stoke-on-Trent,Bet365 Stadium,30089
Swansea City,Swansea,Liberty Stadium,21088
Tottenham Hotspur,London (Wembley),Wembley Stadium[a],90000
Watford,Watford,Vicarage Road,21577
West Bromwich Albion,West Bromwich,The Hawthorns,26688
West Ham United,London (Stratford),London Stadium,60000
