Rank,Player,Club,Clean sheets[131]
1,David de Gea,Manchester United,18
2,Ederson,Manchester City,16
3,Thibaut Courtois,Chelsea,15
3,Hugo Lloris,Tottenham Hotspur,15
5,Petr Čech,Arsenal,11
5,Nick Pope,Burnley,11
7,Ben Foster,West Bromwich Albion,10
7,Loris Karius,Liverpool,10
7,Jonas Lössl,Huddersfield Town,10
7,Jordan Pickford,Everton,10
7,Mathew Ryan,Brighton & Hove Albion,10
