Award,Winner,Club
Premier League Manager of the Season,Pep Guardiola[163],Manchester City
Premier League Player of the Season,Mohamed Salah[164],Liverpool
Premier League Goal of the Season,Sofiane Boufal[165],Southampton
PFA Players' Player of the Year,Mohamed Salah[166],Liverpool
PFA Young Player of the Year,Leroy Sané[167],Manchester City
FWA Footballer of the Year,Mohamed Salah[168],Liverpool
PFA Fans' Player of the Year,Mohamed Salah[169],Liverpool
