Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
Watford,Walter Mazzarri,Mutual consent,21 May 2017[95],Pre-season,Marco Silva,27 May 2017[96]
Crystal Palace,Sam Allardyce,Resigned,23 May 2017[97],Pre-season,Frank de Boer,26 June 2017[98]
Southampton,Claude Puel,Sacked,14 June 2017[99],Pre-season,Mauricio Pellegrino,23 June 2017[100]
Crystal Palace,Frank de Boer,Sacked,11 September 2017[101],19th,Roy Hodgson,12 September 2017[102]
Leicester City,Craig Shakespeare,Sacked,17 October 2017[103],18th,Claude Puel,25 October 2017[104]
Everton,Ronald Koeman,Sacked,23 October 2017[105],18th,Sam Allardyce,30 November 2017[106]
West Ham United,Slaven Bilić,Sacked,6 November 2017[107],18th,David Moyes,7 November 2017[108]
West Bromwich Albion,Tony Pulis,Sacked,20 November 2017[109],17th,Alan Pardew,29 November 2017[110]
Swansea City,Paul Clement,Sacked,20 December 2017[111],20th,Carlos Carvalhal,28 December 2017[112]
Stoke City,Mark Hughes,Sacked,6 January 2018[113],18th,Paul Lambert,15 January 2018[114]
Watford,Marco Silva,Sacked,21 January 2018[115],10th,Javi Gracia,21 January 2018[116]
Southampton,Mauricio Pellegrino,Sacked,12 March 2018[117],17th,Mark Hughes,14 March 2018[118]
West Bromwich Albion,Alan Pardew,Mutual consent,2 April 2018[119],20th,Darren Moore (caretaker),2 April 2018[119]
