رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,آرسنال (C),۳۸,۲۶,۱۲,۰,۷۳,۲۶,۴۷+,۹۰,Qualification for the Champions League group stage
۲,چلسی,۳۸,۲۴,۷,۷,۶۷,۳۰,۳۷+,۷۹,Qualification for the Champions League group stage
۳,منچستر یونایتد,۳۸,۲۳,۶,۹,۶۴,۳۵,۲۹+,۷۵,Qualification for the Champions League third qualifying round[a]
۴,لیورپول,۳۸,۱۶,۱۲,۱۰,۵۵,۳۷,۱۸+,۶۰,Qualification for the Champions League third qualifying round[a]
۵,نیوکاسل,۳۸,۱۳,۱۷,۸,۵۲,۴۰,۱۲+,۵۶,Qualification for the UEFA Cup first round
۶,آستون ویلا,۳۸,۱۵,۱۱,۱۲,۴۸,۴۴,۴+,۵۶,
۷,چارلتون,۳۸,۱۴,۱۱,۱۳,۵۱,۵۱,۰,۵۳,
۸,بولتون,۳۸,۱۴,۱۱,۱۳,۴۸,۵۶,۸−,۵۳,
۹,فولام,۳۸,۱۴,۱۰,۱۴,۵۲,۴۶,۶+,۵۲,
۱۰,بیرمنگام,۳۸,۱۲,۱۴,۱۲,۴۳,۴۸,۵−,۵۰,
۱۱,میدلزبورو,۳۸,۱۳,۹,۱۶,۴۴,۵۲,۸−,۴۸,Qualification for the UEFA Cup first round[b]
۱۲,ساوتهمپتون,۳۸,۱۲,۱۱,۱۵,۴۴,۴۵,۱−,۴۷,
۱۳,پورتسموث,۳۸,۱۲,۹,۱۷,۴۷,۵۴,۷−,۴۵,
۱۴,تاتنهام,۳۸,۱۳,۶,۱۹,۴۷,۵۷,۱۰−,۴۵,
۱۵,بلکبرن,۳۸,۱۲,۸,۱۸,۵۱,۵۹,۸−,۴۴,
۱۶,منچسترسیتی,۳۸,۹,۱۴,۱۵,۵۵,۵۴,۱+,۴۱,
۱۷,اورتون,۳۸,۹,۱۲,۱۷,۴۵,۵۷,۱۲−,۳۹,
۱۸,لسترسیتی (R),۳۸,۶,۱۵,۱۷,۴۸,۶۵,۱۷−,۳۳,Relegation to the Football League Championship
۱۹,لیدزیونایتد (R),۳۸,۸,۹,۲۱,۴۰,۷۹,۳۹−,۳۳,Relegation to the Football League Championship
۲۰,ولورهمپتون (R),۳۸,۷,۱۲,۱۹,۳۸,۷۷,۳۹−,۳۳,Relegation to the Football League Championship
