رتبه,بازیکن,باشگاه,گل
۱,تیری آنری,آرسنال,۳۰
۲,آلن شیرر,نیوکاسل,۲۲
۳,لوئی ساها,منچستر یونایتد/فولام,۲۰
۳,رود فن نیستلروی,منچستر یونایتد,۲۰
۵,میکل فورسل,بیرمنگام سیتی,۱۷
۶,نیکولا آنلکا,منچستر سیتی,۱۶
۶,خوان پابلو آنجل,استون ویلا,۱۶
۶,مایکل اوون,لیورپول,۱۶
۶,یاکوبو آییگبنی,پورتس‌موث,۱۶
۱۰,جیمز بیتی,ساوت‌همپتون,۱۴
۱۰,رابی کین,تاتنهام,۱۴
۱۰,رابرت پیرس,آرسنال,۱۴
