#,Football club,Home games,Average attendance[87]
1,Manchester United,19,75530
2,Arsenal FC,19,60079
3,Newcastle United,19,50517
4,Manchester City,19,46974
5,Liverpool FC,19,44749
6,Chelsea FC,19,41462
7,Sunderland AFC,19,40544
8,Everton FC,19,36356
9,Tottenham Hotspur,19,36030
10,Aston Villa,19,35060
11,West Ham United,19,34720
12,Southampton FC,19,30874
13,Stoke City,19,26722
14,Norwich City,19,26672
15,Fulham FC,19,25394
16,West Bromwich Albion,19,25360
17,Reading FC,19,23862
18,Swansea City,19,20370
19,Wigan Athletic,19,19359
20,Queens Park Rangers,19,17779
