Player,For,Against,Result,Date,Ref
Clive Mendonca,Charlton Athletic,Southampton,5–0 (H),22 August 1998,[3]
Michael Owen,Liverpool,Newcastle United,4–1 (A),30 August 1998,[4]
Michael Owen4,Liverpool,Nottingham Forest,5–1 (H),24 October 1998,[5]
Dion Dublin,Aston Villa,Leicester City,4–1 (A),14 November 1998,[6]
Robbie Fowler,Liverpool,Aston Villa,4–2 (A),21 November 1998,[7]
Chris Armstrong,Tottenham Hotspur,Everton,4–1 (H),28 December 1998,[8]
Darren Huckerby,Coventry City,Nottingham Forest,4–0 (H),9 January 1999,[9]
Robbie FowlerP,Liverpool,Southampton,7–1 (H),16 January 1999,[10]
Dwight Yorke,Manchester United,Leicester City,6–2 (A),16 January 1999,[11]
Ole Gunnar Solskjær4 †,Manchester United,Nottingham Forest,8–1 (A),6 February 1999,[12]
Nicolas Anelka,Arsenal,Leicester City,5–0 (H),20 February 1999,[13]
Kevin Campbell,Everton,West Ham United,6–0 (H),8 May 1999,[14]
