Rank,Player,Club,Assists[15]
1,Dennis Bergkamp,Arsenal,13
1,Jimmy Floyd Hasselbaink,Leeds United,13
3,David Beckham,Manchester United,11
3,Eyal Berkovic,West Ham United,11
3,Steve Guppy,Leicester City,11
3,Dwight Yorke,Manchester United,11
7,David Ginola,Tottenham Hotspur,10
8,Darren Anderton,Tottenham Hotspur,9
8,Harry Kewell,Leeds United,9
10,James Beattie,Southampton,7
