رتبه,بازیکن,باشگاه,گل
۱,تیری آنری,آرسنال,۲۵
۲,اندرو جانسون,کریستال پالاس,۲۱
۳,رابرت پیرس,آرسنال,۱۴
۴,جرمین دفو,تاتنهام,۱۳
۴,جیمی فلوید هاسلبنک,میدلرزبورو,۱۳
۴,فرانک لمپارد,چلسی,۱۳
۴,یاکوبو آییگبانی,پورتسموث,۱۳
۸,اندرو کول,فولام,۱۲
۸,پیتر کراوچ,ساوت‌همپتون,۱۲
۸,ایدور گودیانسن,چلسی,۱۲
