رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,چلسی (ق),38,29,8,1,72,15,+57,66,لیگ قهرمانان اروپا ۰۶-۲۰۰۵ مرحله گروهی,
2,آرسنال,38,25,8,5,87,36,+51,58,,
3,منچستر یونایتد,38,22,11,5,58,26,+32,55,لیگ قهرمانان اروپا ۰۶-۲۰۰۵ مرحله سوم مقدماتی,
4,اورتون,38,18,7,13,45,46,−1,43,,
5,لیورپول,38,17,7,14,52,41,+11,41,لیگ قهرمانان اروپا ۰۶-۲۰۰۵ مرحله اول انتخابی ۱,
6,بولتون واندررز,38,16,10,12,49,44,+5,42,جام یوفا ۰۶-۲۰۰۵ مرحله اول ۲,
7,میدلزبورو,38,14,13,11,53,46,+7,41,,
8,منچستر سیتی,38,13,13,12,47,39,+8,39,,
9,تاتنهام هاتسپر,38,14,10,14,47,41,+6,38,,
10,استون ویلا,38,12,11,15,45,52,−7,35,,
11,چارلتون اتلتیک,38,12,10,16,42,58,−16,34,,
12,بیرمنگام سیتی,38,11,12,15,40,46,−6,34,,
13,فولام,38,12,8,18,52,60,−8,32,,
14,نیوکاسل یونایتد,38,10,14,14,47,57,−10,34,جام اینترتوتو ۲۰۰۵ مرحله سوم,
15,بلکبرن راورز,38,9,15,14,32,43,−11,33,,
16,پورتسموث,38,10,9,19,43,59,−16,29,,
17,وست برومویچ آلبیون,38,6,16,16,36,61,−25,28,,
۱۸,کریستال پالاس (R),۳۸,۷,۱۲,۱۹,۴۱,۶۲,−۲۱,۳۳,سقوط به چمپیونشیپ,
۱۹,نورویچ سیتی (R),۳۸,۷,۱۲,۱۹,۴۲,۷۷,−۳۵,۳۳,,
۲۰,ساوت‌همپتون (R),۳۸,۶,۱۴,۱۸,۴۵,۶۶,−۲۱,۳۲,,
