Player,For,Against,Result,Date
Chris Sutton,Blackburn Rovers,Coventry City,4–0 (H)[7],27 August 1994
Robbie Fowler,Liverpool,Arsenal,3–0 (H)[8],28 August 1994
Andrei Kanchelskis,Manchester United,Manchester City,5–0 (H)[9],10 November 1994
Alan Shearer,Blackburn Rovers,Queens Park Rangers,4–0 (H)[10],26 November 1994
Teddy Sheringham,Tottenham Hotspur,Newcastle United,4–2 (H)[11],3 December 1994
Tony Cottee,West Ham United,Manchester City,3–0 (H)[12],17 December 1994
Alan Shearer,Blackburn Rovers,West Ham United,4–2 (H)[13],30 October 1994
Alan Shearer,Blackburn Rovers,Ipswich Town,4–1 (H)[14],2 January 1995
Tommy Johnson,Aston Villa,Wimbledon,7–1 (H)[15],11 February 1995
Andy Cole5,Manchester United,Ipswich Town,9–0 (H)[16],4 March 1995
Peter Ndlovu,Coventry City,Liverpool,3–2 (A)[17],14 March 1995
Tony Yeboah,Leeds United,Ipswich Town,4–0 (H)[18],5 April 1995
Ian Wright,Arsenal,Ipswich Town,4–1 (H)[19],15 April 1995
