Rank,Player,Club,Clean sheets[20]
1,Peter Schmeichel,Manchester United,20
2,David James,Liverpool,17
2,John Lukic,Leeds United,17
4,Tim Flowers,Blackburn,16
5,Nigel Martyn,Crystal Palace,14
5,Neville Southall,Everton,14
7,Mark Crossley,Nottingham Forest,13
7,Luděk Mikloško,West Ham United,13
7,Pavel Srníček,Newcastle United,13
10,Dmitri Kharine,Chelsea,11
10,Steve Ogrizovic,Coventry City,11
10,David Seaman,Arsenal,11
10,Ian Walker,Tottenham Hotspur,11
