Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August,Kevin Keegan,Newcastle United,Jürgen Klinsmann,Tottenham Hotspur
September,Frank Clark,Nottingham Forest,Rob Lee,Newcastle United
October,Alex Ferguson,Manchester United,Paul Ince,Manchester United
November,Kenny Dalglish,Blackburn Rovers,Alan Shearer,Blackburn Rovers
November,Kenny Dalglish,Blackburn Rovers,Chris Sutton,Blackburn Rovers
December,Gerry Francis,Tottenham Hotspur,Matt Le Tissier,Southampton
January,Brian Little,Aston Villa,Chris Waddle,Sheffield Wednesday
February,Kevin Keegan,Newcastle United,Duncan Ferguson,Everton
March,Ron Atkinson,Coventry City,Tony Yeboah,Leeds United
April,Howard Wilkinson,Leeds United,David Seaman,Arsenal
