Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
West Ham United,Billy Bonds,Resigned,10 August 1994,Pre-season,Harry Redknapp,10 August 1994
Tottenham Hotspur,Osvaldo Ardiles,Sacked,1 November 1994,11th,Steve Perryman (caretaker),1 November 1994
Everton,Mike Walker,Sacked,8 November 1994,22nd,Joe Royle,10 November 1994
Aston Villa,Ron Atkinson,Sacked,10 November 1994,19th,Jim Barron (caretaker),10 November 1994
Tottenham Hotspur,Steve Perryman,End of caretaker spell,15 November 1994,13th,Gerry Francis,15 November 1994
Queens Park Rangers,Gerry Francis,Resigned,15 November 1994,18th,Ray Wilkins,15 November 1994
Leicester City,Brian Little,Resigned,22 November 1994,20th,Kevin MacDonald (caretaker),22 November 1994
Aston Villa,Jim Barron,End of caretaker spell,25 November 1994,19th,Brian Little,25 November 1994
Ipswich Town,John Lyall,Resigned,5 December 1994,22nd,Paul Goddard (caretaker),5 December 1994
Leicester City,Kevin MacDonald,End of caretaker spell,14 December 1994,21st,Mark McGhee,14 December 1994
Ipswich Town,Paul Goddard,End of caretaker spell,28 December 1994,22nd,George Burley,28 December 1994
Coventry City,Phil Neal,Sacked,14 February 1995,13th,Ron Atkinson,15 February 1995
Arsenal,George Graham,Sacked,21 February 1995,12th,Stewart Houston,21 February 1995
Norwich City,John Deehan,Resigned,9 April 1995,20th,Gary Megson (caretaker),9 April 1995
