رتبه,بازیکن,باشگاه,گل[۱]
۱,رابین فن پرسی,آرسنال,۳۰
۲,وین رونی,منچستر یونایتد,۲۷
۳,سرخیو آگوئرو,منچستر سیتی,۲۳
۴,کلینت دمپسی,فولام,۱۷
۴,امانوئل آدبایور,تاتنهام هاتسپر,۱۷
۴,یاکوبو ایگبنی,بلکبرن,۱۷
۷,دمبا با,نیوکاسل,۱۶
۸,گرانت هالت,نوریچ سیتی,۱۵
۹,ادین ژکو,منچستر سیتی,۱۴
۱۰,ماریو بالوتلی,منچستر سیتی,۱۳
۱۰,پاپیس سیسه,نیوکاسل یونایتد,۱۳
