رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,منچستر سیتی (C),38,28,5,5,93,29,+64,61,مرحله گروهی لیگ قهرمانان اروپا,
2,منچستر یونایتد,38,28,5,5,89,33,+56,61,,
3,آرسنال,38,21,7,10,74,49,+25,49,,
4,تاتنهام,38,20,9,9,66,41,+25,49,مرحله گروهی لیگ اروپا 1,
5,نیوکاسل یونایتد,38,19,8,11,56,51,+5,46,مرحله حذفی لیگ اروپا,
6,چلسی,38,18,10,10,65,46,+19,46,مرحله گروهی لیگ قهرمانان اروپا 1,
7,اورتون,38,15,11,12,50,40,+10,41,,
8,لیورپول,38,14,10,14,47,40,+7,38,مرحله سوم انتخابی لیگ اروپا 2,
9,فولام,38,14,10,14,48,51,−3,38,,
10,وست برومویچ آلبیون,38,13,8,17,45,52,−7,34,,
11,سوانزی سیتی,38,12,11,15,44,51,−7,35,,
12,نورویچ سیتی,38,12,11,15,52,66,−14,35,,
13,ساندرلند,38,11,12,15,45,46,−1,34,,
14,استوک سیتی,38,11,12,15,36,53,−17,34,,
15,ویگان,38,11,10,17,42,62,−20,32,,
16,استون ویلا,38,7,17,14,37,53,−16,31,,
17,کوئینز پارک رنجرز,38,10,7,21,43,66,−23,27,,
18,بولتون (R),38,10,6,22,46,77,−31,26,سقوط به چمپیونشیپ,
19,بلکبرن (R),38,8,7,23,48,78,−30,23,,
20,ولورهمپتون (R),38,5,10,23,40,82,−42,20,,
