Award,Winner,Club
Premier League Manager of the Season,Alex Ferguson[18],Manchester United
Premier League Player of the Season,Juninho[18],Middlesbrough
PFA Players' Player of the Year,Alan Shearer[19],Newcastle United
PFA Young Player of the Year,David Beckham[20],Manchester United
FWA Footballer of the Year,Gianfranco Zola[21],Chelsea
