#,Football club,Home games,Average attendance[22]
1,Manchester United,19,55081
2,Liverpool FC,19,39777
3,Arsenal FC,19,37821
4,Newcastle United,19,36467
5,Everton FC,19,36188
6,Aston Villa,19,36027
7,Leeds United,19,32118
8,Tottenham Hotspur,19,31067
9,Middlesbrough FC,19,29871
10,Chelsea FC,19,27617
11,Sheffield Wednesday,19,25714
12,Blackburn Rovers,19,24947
13,Nottingham Forest,19,24587
14,West Ham United,19,23209
15,Sunderland AFC,19,20974
16,Leicester City,19,20184
17,Coventry City,19,19608
18,Derby County,19,17889
19,Wimbledon FC,19,15139
20,Southampton FC,19,15105
