Month,Manager of the Month,Manager of the Month,Player of the Month,Player of the Month
Month,Manager,Club,Player,Club
August,David Pleat,Sheffield Wednesday,David Beckham,Manchester United
September,Joe Kinnear,Wimbledon,Patrik Berger,Liverpool
October,Graeme Souness,Southampton,Matt Le Tissier,Southampton
November,Jim Smith,Derby County,Ian Wright,Arsenal
December,Gordon Strachan,Coventry City,Gianfranco Zola,Chelsea
January,Stuart Pearce,Nottingham Forest,Tim Flowers,Blackburn Rovers
February,Alex Ferguson,Manchester United,[a] Robbie Earle,Wimbledon
March,Bryan Robson,Middlesbrough,Juninho,Middlesbrough
April,Graeme Souness,Southampton,[b] Mickey Evans,Southampton
