Rank,Player,Club,Goals
1,Alan Shearer,Blackburn Rovers,31
2,Robbie Fowler,Liverpool,28
3,Les Ferdinand,Newcastle United,25
4,Dwight Yorke,Aston Villa,17
5,Teddy Sheringham,Tottenham Hotspur,16
6,Chris Armstrong,Tottenham Hotspur,15
6,Andrei Kanchelskis,Everton,15
6,Ian Wright,Arsenal,15
9,Eric Cantona,Manchester United,14
9,Stan Collymore,Liverpool,14
9,Dion Dublin,Coventry City,14
