Award,Winner,Club
Premier League Manager of the Season,Alex Ferguson,Manchester United
PFA Players' Player of the Year,Les Ferdinand[28],Newcastle United
PFA Young Player of the Year,Robbie Fowler[29],Liverpool
FWA Footballer of the Year,Eric Cantona[30],Manchester United
