Player,For,Against,Result,Date
Mohamed Salah,Liverpool,Leeds United,4–3 (H)[95],12 September 2020
Dominic Calvert-Lewin,Everton,West Bromwich Albion,5–2 (H)[96],19 September 2020
Son Heung-min4,Tottenham Hotspur,Southampton,5–2 (A)[97],20 September 2020
Jamie Vardy,Leicester City,Manchester City,5–2 (A)[98],27 September 2020
Ollie Watkins,Aston Villa,Liverpool,7–2 (H)[99],4 October 2020
Patrick Bamford,Leeds United,Aston Villa,3–0 (A)[100],23 October 2020
Riyad Mahrez,Manchester City,Burnley,5–0 (H)[101],28 November 2020
Pierre-Emerick Aubameyang,Arsenal,Leeds United,4–2 (H)[102],14 February 2021
Kelechi Iheanacho,Leicester City,Sheffield United,5–0 (H)[103],14 March 2021
Chris Wood,Burnley,Wolverhampton Wanderers,4–0 (A)[104],25 April 2021
Gareth Bale,Tottenham Hotspur,Sheffield United,4–0 (H)[105],2 May 2021
Ferran Torres,Manchester City,Newcastle United,4–3 (A)[106],14 May 2021
