Team,Manager,Captain,Kit manufacturer,Shirt sponsor (chest),Shirt sponsor (sleeve)
Arsenal,Mikel Arteta,Pierre-Emerick Aubameyang,Adidas[35],Emirates[36],Visit Rwanda[37]
Aston Villa,Dean Smith,Jack Grealish,Kappa[38],Cazoo[39],LT[40]
Brighton & Hove Albion,Graham Potter,Lewis Dunk,Nike[41],American Express[41],SnickersUK.com[42]
Burnley,Sean Dyche,Ben Mee,Umbro,LoveBet[43],LoveBet[43]
Chelsea,Thomas Tuchel,César Azpilicueta,Nike[44],Three[45],Hyundai[46]
Crystal Palace,Roy Hodgson,Luka Milivojević,Puma[47],W88[48],Iqoniq[49]
Everton,Carlo Ancelotti,Séamus Coleman,Hummel[50],Cazoo[51],
Fulham,Scott Parker,Tom Cairney,Adidas,BetVictor[52],ClearScore[53]
Leeds United,Marcelo Bielsa,Liam Cooper,Adidas[54],SBOTOP[55],JD Sports[56]
Leicester City,Brendan Rodgers,Wes Morgan,Adidas[57],Two sponsors Tourism Authority of Thailand[58] (home and away kits) King Power (third),Bia Saigon[59]
Liverpool,Jürgen Klopp,Jordan Henderson,Nike[60],Standard Chartered[61],Expedia[62]
Manchester City,Pep Guardiola,Fernandinho[63],Puma[64],Etihad Airways[65],Nexen Tire[66]
Manchester United,Ole Gunnar Solskjær,Harry Maguire,Adidas[67],Chevrolet[68],Kohler[69]
Newcastle United,Steve Bruce,Jamaal Lascelles,Puma[70],FUN88[71],ICM.com[72]
Sheffield United,Paul Heckingbottom (caretaker),Billy Sharp,Adidas,Union Standard Group[73],Union Standard Group[73]
Southampton,Ralph Hasenhüttl,James Ward-Prowse,Under Armour[74],Sportsbet.io[75],Virgin Media[76]
Tottenham Hotspur,Ryan Mason (caretaker),Hugo Lloris,Nike[77],AIA[78],Cinch[79]
West Bromwich Albion,Sam Allardyce,Jake Livermore,Puma[80],Ideal Boilers,12BET
West Ham United,David Moyes,Mark Noble,Umbro,Betway,Scope Markets[81]
Wolverhampton Wanderers,Nuno Espírito Santo,Conor Coady,Adidas[82],ManBetX[83],Aeroset
