Rank,Player,Club,Clean sheets
1,Ederson,Manchester City,19
2,Édouard Mendy,Chelsea,16
3,Emiliano Martínez,Aston Villa,15
4,Hugo Lloris,Tottenham Hotspur,12
5,Bernd Leno,Arsenal,11
5,Illan Meslier,Leeds United,11
5,Nick Pope,Burnley,11
5,Kasper Schmeichel,Leicester City,11
9,Alisson,Liverpool,10
9,Łukasz Fabiański,West Ham United,10
9,Rui Patrício,Wolverhampton Wanderers,10
9,Jordan Pickford,Everton,10
9,Robert Sánchez,Brighton & Hove Albion,10
