PFA Team of the Year[145],PFA Team of the Year[145].1,PFA Team of the Year[145].2,PFA Team of the Year[145].3,PFA Team of the Year[145].4,PFA Team of the Year[145].5,PFA Team of the Year[145].6,PFA Team of the Year[145].7,PFA Team of the Year[145].8,PFA Team of the Year[145].9,PFA Team of the Year[145].10,PFA Team of the Year[145].11,PFA Team of the Year[145].12
Goalkeeper,Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City),Ederson (Manchester City)
Defenders,João Cancelo (Manchester City),João Cancelo (Manchester City),João Cancelo (Manchester City),Rúben Dias (Manchester City),Rúben Dias (Manchester City),Rúben Dias (Manchester City),John Stones (Manchester City),John Stones (Manchester City),John Stones (Manchester City),Luke Shaw (Manchester United),Luke Shaw (Manchester United),Luke Shaw (Manchester United)
Midfielders,Kevin De Bruyne (Manchester City),Kevin De Bruyne (Manchester City),Kevin De Bruyne (Manchester City),Kevin De Bruyne (Manchester City),İlkay Gündoğan (Manchester City),İlkay Gündoğan (Manchester City),İlkay Gündoğan (Manchester City),İlkay Gündoğan (Manchester City),Bruno Fernandes (Manchester United),Bruno Fernandes (Manchester United),Bruno Fernandes (Manchester United),Bruno Fernandes (Manchester United)
Forwards,Mohamed Salah (Liverpool),Mohamed Salah (Liverpool),Mohamed Salah (Liverpool),Mohamed Salah (Liverpool),Harry Kane (Tottenham Hotspur),Harry Kane (Tottenham Hotspur),Harry Kane (Tottenham Hotspur),Harry Kane (Tottenham Hotspur),Son Heung-min (Tottenham Hotspur),Son Heung-min (Tottenham Hotspur),Son Heung-min (Tottenham Hotspur),Son Heung-min (Tottenham Hotspur)
,,,,,,,,,,,,
