Award,Winner,Club
Premier League Manager of the Season,Pep Guardiola[138],Manchester City
Premier League Player of the Season,Rúben Dias[139],Manchester City
Premier League Young Player of the Season,Phil Foden[140],Manchester City
Premier League Goal of the Season,Erik Lamela[141],Tottenham Hotspur
PFA Players' Player of the Year,Kevin De Bruyne[142],Manchester City
PFA Young Player of the Year,Phil Foden[142],Manchester City
FWA Footballer of the Year,Rúben Dias[143],Manchester City
PFA Fans' Player of the Year,Mohamed Salah[144],Liverpool
