Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
West Bromwich Albion,Slaven Bilić[84],Sacked,16 December 2020,19th,Sam Allardyce[85],16 December 2020
Chelsea,Frank Lampard[86],Sacked,25 January 2021,9th,Thomas Tuchel[87],26 January 2021
Sheffield United,Chris Wilder[88],Mutual consent,13 March 2021,20th,Paul Heckingbottom (interim)[89],13 March 2021
Tottenham Hotspur,José Mourinho[90],Sacked,19 April 2021,7th,Ryan Mason (interim)[90][91],19 April 2021
