رتبه,بازیکن,باشگاه,گل
۱,اندرو کول,نیوکاسل یونایتد,۳۴
۲,آلن شیرر,بلکبرن,۳۱
۳,متیو لو تیسیه,ساوت‌همپتون,۲۵
۳,کریس ساتن,نورویچ سیتی,۲۵
۵,یان رایت,آرسنال,۲۳
۶,پیتر بیردزلی,نیوکاسل یونایتد,۲۱
۷,مارک برایت,شفیلد ونزدی,۱۹
۸,اریک کانتونا,منچستر یونایتد,۱۸
۹,دین هولدوورث,ویمبلدون,۱۷
۹,رود والاس,لیدز یونایتد,17
