Team,Location,Stadium,Capacity
Arsenal,London (Holloway),Emirates Stadium,60355
Aston Villa,Birmingham (Aston),Villa Park,42788
Birmingham City,Birmingham (Bordesley),St Andrew's,30009
Blackburn Rovers,Blackburn,Ewood Park,31367
Bolton Wanderers,Bolton,Reebok Stadium,28723
Burnley,Burnley,Turf Moor,22546
Chelsea,London (Fulham),Stamford Bridge,42055
Everton,Liverpool (Walton),Goodison Park,40157
Fulham,London (Fulham),Craven Cottage,25700
Hull City,Kingston upon Hull,KC Stadium,25404
Liverpool,Liverpool (Anfield),Anfield,"45,276[18]"
Manchester City,Manchester (Bradford),City of Manchester Stadium,55097
Manchester United,Trafford (Old Trafford),Old Trafford,76212
Portsmouth,Portsmouth,Fratton Park,20688
Stoke City,Stoke-on-Trent,Britannia Stadium,28383
Sunderland,Sunderland,Stadium of Light,49000
Tottenham Hotspur,London (Tottenham),White Hart Lane,36240
West Ham United,London (Upton Park),Boleyn Ground,35309
Wigan Athletic,Wigan,DW Stadium[a],25138
Wolverhampton Wanderers,Wolverhampton,Molineux Stadium,29303
