Team,Outgoing manager,Manner of departure,Date of vacancy,Position in the table,Incoming manager,Date of appointment
Crystal Palace,Roy Hodgson[114],End of contract,24 May 2021,Pre-season,Patrick Vieira[115],4 July 2021
Wolverhampton Wanderers,Nuno Espírito Santo[116],Mutual consent,24 May 2021,Pre-season,Bruno Lage[117],9 June 2021
Everton,Carlo Ancelotti[118],Signed by Real Madrid,1 June 2021,Pre-season,Rafael Benítez[119],30 June 2021
Tottenham Hotspur,Ryan Mason[120],End of caretaker spell,30 June 2021,Pre-season,Nuno Espírito Santo[121],30 June 2021
Watford,Xisco Muñoz[122],Sacked,3 October 2021,14th,Claudio Ranieri[123],4 October 2021
Newcastle United,Steve Bruce[124],Mutual consent,20 October 2021,19th,Graeme Jones (interim)[124],20 October 2021
Tottenham Hotspur,Nuno Espírito Santo[125],Sacked,1 November 2021,8th,Antonio Conte[126],2 November 2021
Norwich City,Daniel Farke[127],Sacked,6 November 2021,20th,Dean Smith[128],15 November 2021
Aston Villa,Dean Smith[129],Sacked,7 November 2021,15th,Steven Gerrard[130],11 November 2021
Newcastle United,Graeme Jones[131],End of interim spell,8 November 2021,19th,Eddie Howe[131],8 November 2021
Manchester United,Ole Gunnar Solskjær[132],Sacked,21 November 2021,7th,Michael Carrick (caretaker)[40],21 November 2021
Manchester United,Michael Carrick[40],End of caretaker spell,2 December 2021,7th,Ralf Rangnick (interim)[41],3 December 2021
Everton,Rafael Benítez[133],Sacked,16 January 2022,15th,Duncan Ferguson (caretaker)[134],18 January 2022
Watford,Claudio Ranieri[135],Sacked,24 January 2022,19th,Roy Hodgson[136],25 January 2022
Everton,Duncan Ferguson[137],End of caretaker spell,31 January 2022,16th,Frank Lampard[137],31 January 2022
Leeds United,Marcelo Bielsa[138],Sacked,27 February 2022,16th,Jesse Marsch[139],28 February 2022
Burnley,Sean Dyche[140],Sacked,15 April 2022,18th,Mike Jackson (lead caretaker)[140],15 April 2022
