Rank,Player,Club,Clean sheets[160]
1,Alisson,Liverpool,20
1,Ederson,Manchester City,20
3,Hugo Lloris,Tottenham Hotspur,16
4,Édouard Mendy,Chelsea,14
5,Aaron Ramsdale,Arsenal,12
6,Vicente Guaita,Crystal Palace,11
6,Emiliano Martínez,Aston Villa,11
6,José Sá,Wolverhampton Wanderers,11
6,Robert Sánchez,Brighton & Hove Albion,11
10,Nick Pope,Burnley,9
