#,Football club,Home games,Average attendance[202]
1,Manchester United,19,73150
2,Arsenal FC,19,59776
3,West Ham United,19,58894
4,Tottenham Hotspur,19,56428
5,Liverpool FC,19,53027
6,Manchester City,19,52774
7,Newcastle United,19,51487
8,Aston Villa,19,41681
9,Everton FC,19,38945
10,Chelsea FC,19,37810
11,Leeds United,19,36308
12,Leicester City,19,32061
13,Brighton & Hove Albion,19,30988
14,Wolverhampton Wanderers,19,30741
15,Southampton FC,19,29889
16,Norwich City,19,26836
17,Crystal Palace FC,19,24282
18,Watford FC,19,20614
19,Burnley FC,19,19399
20,Brentford FC,19,16912
