Player,For,Against,Result,Date
Bruno Fernandes,Manchester United,Leeds United,5–1 (H)[146],14 August 2021
Roberto Firmino,Liverpool,Watford,5–0 (A)[147],16 October 2021
Mason Mount,Chelsea,Norwich City,7–0 (H)[148],23 October 2021
Joshua King,Watford,Everton,5–2 (A)[149],23 October 2021
Mohamed Salah,Liverpool,Manchester United,5–0 (A)[150],24 October 2021
Jack Harrison,Leeds United,West Ham United,3–2 (A)[151],16 January 2022
Raheem Sterling,Manchester City,Norwich City,4–0 (A)[152],12 February 2022
Ivan Toney,Brentford,Norwich City,3–1 (A)[153],5 March 2022
Cristiano Ronaldo,Manchester United,Tottenham Hotspur,3–2 (H)[154],12 March 2022
Son Heung-min,Tottenham Hotspur,Aston Villa,4–0 (A)[155],9 April 2022
Cristiano Ronaldo,Manchester United,Norwich City,3–2 (H)[156],16 April 2022
Gabriel Jesus4,Manchester City,Watford,5–1 (H)[157],23 April 2022
Kevin De Bruyne4,Manchester City,Wolverhampton Wanderers,5–1 (A)[158],11 May 2022
