Team,Manager,Captain,Kit manufacturer,Shirt sponsor (chest),Shirt sponsor (sleeve)
Arsenal,Mikel Arteta,Alexandre Lacazettea,Adidas[50],Emirates[51],Visit Rwanda[52]
Aston Villa,Steven Gerrard,Tyrone Mings,Kappa[53],Cazoo[54],OB Sports[55]
Brentford,Thomas Frank,Pontus Jansson,Umbro,Hollywoodbets[56],Safetyculture[57]
Brighton & Hove Albion,Graham Potter,Lewis Dunk,Nike[58],American Express[58],SnickersUK.com[59]
Burnley,Mike Jackson  Connor King  Ben Mee (joint-caretakers),Ben Mee,Umbro[60],Spreadex Sports[61],AstroPay[62]
Chelsea,Thomas Tuchel,César Azpilicueta,Nike[63],Threec [64],Hyundaic [65]
Crystal Palace,Patrick Vieira,Luka Milivojević,Puma[66],W88[67],Facebank[68]
Everton,Frank Lampard,Séamus Coleman,Hummel[69],Cazoo[70],
Leeds United,Jesse Marsch,Liam Cooper,Adidas[71],SBOTOP[72],BOXT[73]
Leicester City,Brendan Rodgers,Kasper Schmeichel,Adidas[74],FBS[75],Bia Saigon[76]
Liverpool,Jürgen Klopp,Jordan Henderson,Nike[77],Standard Chartered[78],Expedia[79]
Manchester City,Pep Guardiola,Fernandinho,Puma[80],Etihad Airways[81],Nexen Tire[82]
Manchester United,Ralf Rangnick (interim),Harry Maguire,Adidas[83],TeamViewer[84],Kohler[85]
Newcastle United,Eddie Howe,Jamaal Lascelles,Castore[86],FUN88[87],Kayak[88]
Norwich City,Dean Smith,Grant Hanley,Joma[89],Lotus Cars[90],JD Sports[91]
Southampton,Ralph Hasenhüttl,James Ward-Prowse,Hummel[92],Sportsbet.io[93],Virgin Media[94]
Tottenham Hotspur,Antonio Conte,Hugo Lloris,Nike[95],AIA[96],Cinch[97]
Watford,Roy Hodgson,TBDb[98],Kelme[99],Stake.com[100],Dogecoin[101]
West Ham United,David Moyes,Mark Noble,Umbro[102],Betway[103],Scope Markets[104]
Wolverhampton Wanderers,Bruno Lage,Conor Coady,Castore[105],ManBetX[106],Bitci.com[107]
