Team,Location,Stadium,Capacity[44]
Arsenal,London (Holloway),Emirates Stadium,60260
Aston Villa,Birmingham,Villa Park,42660
Bournemouth,Bournemouth,Dean Court,11464
Chelsea,London (Fulham),Stamford Bridge,41798
Crystal Palace,London (Selhurst),Selhurst Park,25073
Everton,Liverpool (Walton),Goodison Park,39571
Leicester City,Leicester,King Power Stadium,32312
Liverpool,Liverpool (Anfield),Anfield,44742
Manchester City,Manchester (Bradford),City of Manchester Stadium,55097
Manchester United,Manchester (Old Trafford),Old Trafford,75653
Newcastle United,Newcastle upon Tyne,St James' Park,52338
Norwich City,Norwich,Carrow Road,27010
Southampton,Southampton,St Mary's Stadium,32505
Stoke City,Stoke-on-Trent,Britannia Stadium,27740
Sunderland,Sunderland,Stadium of Light,48707
Swansea City,Swansea,Liberty Stadium,20909
Tottenham Hotspur,London (Tottenham),White Hart Lane,36284
Watford,Watford,Vicarage Road,21500
West Bromwich Albion,West Bromwich,The Hawthorns,26850
West Ham United,London (Upton Park),Boleyn Ground[a],35345
