#,Football club,Home games,Average attendance[158]
1,Manchester United,19,75286
2,Arsenal FC,19,59944
3,Manchester City,19,54041
4,Newcastle United,19,49754
5,Liverpool FC,19,43910
6,Sunderland AFC,19,43071
7,Chelsea FC,19,41500
8,Everton FC,19,38124
9,Tottenham Hotspur,19,35776
10,West Ham United,19,34910
11,Aston Villa,19,33690
12,Leicester City,19,32021
13,Southampton FC,19,30751
14,Stoke City,19,27534
15,Norwich City,19,26972
16,Crystal Palace,19,24636
17,West Bromwich Albion,19,24631
18,Swansea City,19,20711
19,Watford FC,19,20594
20,AFC Bournemouth,19,11189
