Rank,Player,Club,Clean sheets[2]
1,Petr Čech,Arsenal,16
2,David de Gea,Manchester United,15
2,Joe Hart,Manchester City,15
2,Kasper Schmeichel,Leicester City,15
5,Hugo Lloris,Tottenham Hotspur,13
6,Heurelho Gomes,Watford,11
6,Simon Mignolet,Liverpool,11
8,Jack Butland,Stoke City,10
9,Adrián,West Ham United,9
9,Łukasz Fabiański,Swansea City,9
