Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Mikel Arteta[46],Puma[47],Emirates[48]
Aston Villa,Eric Black (caretaker),Micah Richards[49],Macron[50],Intuit QuickBooks[51]
Bournemouth,Eddie Howe,Tommy Elphick[52],JD Sports[53],Mansion Group[54]
Chelsea,Guus Hiddink (caretaker),John Terry[55],Adidas[56],Yokohama[57]
Crystal Palace,Alan Pardew,Mile Jedinak[58],Macron[59],Mansion Group[60]
Everton,David Unsworth  Joe Royle (caretakers),Phil Jagielka[61],Umbro[62],Chang[63]
Leicester City,Claudio Ranieri,Wes Morgan[64],Puma[65],King Power[66]
Liverpool,Jürgen Klopp,Jordan Henderson[67],New Balance[68],Standard Chartered[68]
Manchester City,Manuel Pellegrini,Vincent Kompany[69],Nike[70],Etihad Airways[71]
Manchester United,Louis van Gaal,Wayne Rooney[72],Adidas[73],Chevrolet[74]
Newcastle United,Rafael Benítez,Fabricio Coloccini[75],Puma[76],Wonga[77]
Norwich City,Alex Neil,Russell Martin[78],Erreà[79],Aviva[79]
Southampton,Ronald Koeman,José Fonte[80],Adidas[81],Veho[82]
Stoke City,Mark Hughes,Ryan Shawcross[83],New Balance[84],Bet365[85]
Sunderland,Sam Allardyce,John O'Shea[86],Adidas[87],Dafabet[88]
Swansea City,Francesco Guidolin,Ashley Williams[89],Adidas[90],GWFX[91]
Tottenham Hotspur,Mauricio Pochettino,Hugo Lloris[92],Under Armour[93],AIA[94]
Watford,Quique Sánchez Flores,Troy Deeney[95],Puma[96],138.com[97]
West Bromwich Albion,Tony Pulis,Darren Fletcher[98],Adidas[99],Tlcbet[100]
West Ham United,Slaven Bilić,Mark Noble[101],Umbro[102],Betway[103]
