رتبه,بازیکن,باشگاه,گل[۳]
۱,رابین فن پرسی,منچستر یونایتد,۲۶
۲,لوییز آلبرتو سوارز,لیورپول,۲۳
۳,گرت بیل,تاتنهام,۲۱
۴,کریستین بنتک,استون ویلا,۱۹
۵,میچو,سوانزی سیتی,۱۸
۶,روملو لوکاکو,وست برومویچ,۱۷
۷,دمبا با,چلسی / نیوکاسل,۱۵
۷,دیمیتار برباتوف,فولام,۱۵
۷,ریکی لامبرت,ساوت‌همپتون,۱۵
۷,فرانک لمپارد,چلسی,۱۵
