رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,منچستر یونایتد (C),38,28,5,5,86,43,+43,89,مرحله گروهی لیگ قهرمانان اروپا,
2,منچستر سیتی,38,23,9,6,66,34,+32,78,مرحله گروهی لیگ قهرمانان اروپا,
3,چلسی,38,22,9,7,75,39,+36,75,مرحله گروهی لیگ قهرمانان اروپا,
4,آرسنال,38,21,10,7,72,37,+35,73,مرحله حذفی لیگ قهرمانان اروپا,
5,تاتنهام هاتسپر,38,21,9,8,66,46,+20,72,مرحله حذفی لیگ اروپا,
6,اورتون,38,16,15,7,55,40,+15,63,,
7,لیورپول,38,16,13,9,71,43,+28,61,,
8,وست برومویچ,38,14,7,17,53,57,−4,49,,
9,سوانزی سیتی,38,11,13,14,47,51,−4,46,مرحله سوم مقدماتی لیگ اروپا 1,
10,وستهام یونایتد,38,12,10,16,45,53,−8,46,,
11,نورویچ سیتی,38,10,14,14,41,58,−17,44,,
12,فولام,38,11,10,17,50,60,−10,43,,
13,استوک سیتی,38,9,15,14,34,45,−11,42,,
14,ساوت‌همپتون,38,9,14,15,49,60,−11,41,,
15,استون ویلا,38,10,11,17,47,69,−22,41,,
16,نیوکاسل یونایتد,38,11,8,19,45,68,−23,41,,
17,ساندرلند,38,9,12,17,41,54,−13,39,,
18,ویگان اتلتیک (R),38,9,9,20,47,73,–26,36,مرحله گروهی لیگ اروپا 2,
18,ویگان اتلتیک (R),38,9,9,20,47,73,–26,36,سقوط به چمپیونشیپ,
19,ریدینگ (R),38,6,10,22,43,73,−30,28,سقوط به چمپیونشیپ,
20,کویینز پارک رنجرز (R),38,4,13,21,30,60,−30,25,سقوط به چمپیونشیپ,
