رتبه,بازیکن,باشگاه,گل
1,جیمی فلوید هاسلبنک,چلسی,۲۳
2,مارکوس استوارت,ایپسوییج تاون,۱۹
3,تیری آنری,آرسنال,۱۷
3,مارک ویدوکا,لیدز یونایتد,۱۷
5,مایکل اوون,لیورپول,۱۶
6,تدی شرینگهام,منچستر یونایتد,۱۵
7,امیل هسکی,لیورپول,۱۴
7,کوین فیلیپس,ساندرلند,۱۴
9,آلن بوکشیچ,میدلزبورو,۱۲
۱۰,جیمز بیتی,ساوت‌همپتون,۱۱
۱۰,جاناتان یوهانسون,چاررلتون,۱۱
۱۰,فردریک کانوته,وستهام یونایتد,۱۱
۱۰,گاس پویت,چلسی,۱۱
۱۰,آلن اسمیت,لیدز یونایتد,۱۱
