رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,منچستر یونایتد (C),38,24,8,6,79,31,+48,80,مرحله گروهی لیگ قهرمانان اروپا,
2,آرسنال,38,20,10,8,63,38,+25,70,مرحله گروهی لیگ قهرمانان اروپا,
3,لیورپول,38,20,9,9,71,39,+32,69,مرحله سوم لیگ قهرمانان اروپا 1,
4,لیدز یونایتد,38,20,8,10,64,43,+21,68,مرحله اول جام یوفا 1,
5,ایپسویچ تاون,38,20,6,12,57,42,+15,66,مرحله اول جام یوفا 1,
6,چلسی,38,17,10,11,68,45,+23,61,مرحله اول جام یوفا 1,
7,ساندرلند,38,15,12,11,46,41,+5,57,,
8,استون ویلا,38,13,15,10,46,43,+3,54,مرحله سوم جام اینترتوتو,
9,چارلتون اتلتیک,38,14,10,14,50,57,−7,52,,
10,ساوت‌همپتون,38,14,10,14,40,48,−8,52,,
11,نیوکاسل یونایتد,38,14,9,15,44,50,−6,51,مرحله سوم جام اینترتوتو,
12,تاتنهام هاتسپر,38,13,10,15,47,54,−7,49,,
13,لستر سیتی,38,14,6,18,39,51,−12,48,,
14,میدلزبورو,38,9,15,14,44,44,0,42,,
15,وستهام یونایتد,38,10,12,16,45,50,−5,42,,
16,اورتون,38,11,9,18,45,59,−14,42,,
17,دربی کانتی,38,10,12,16,37,59,−22,42,,
18,منچستر سیتی (R),38,8,10,20,41,65,−24,34,سقوط به لیگ دسته اول فوتبال انگلستان,
19,کاونتری سیتی (R),38,8,10,20,36,63,−27,34,سقوط به لیگ دسته اول فوتبال انگلستان,
20,برادفورد سیتی (R),38,5,11,22,30,70,−40,26,سقوط به لیگ دسته اول فوتبال انگلستان,
