رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,منچستر یونایتد (C),38,21,12,5,76,44,+32,75,مرحله گروهی لیگ قهرمانان اروپا,
2,نیوکاسل یونایتد,38,19,11,8,73,40,+33,68,مرحله دوم لیگ قهرمانان اروپا,
3,آرسنال,38,19,11,8,62,32,+30,68,مرحله اول جام یوفا,
4,لیورپول,38,19,11,8,62,37,+25,68,,
5,استون ویلا,38,17,10,11,47,34,+13,61,,
6,چلسی,38,16,11,11,58,55,+3,59,مرحله اول جام برندگان جام اروپا 1,
7,شفیلد ونزدی,38,14,15,9,50,51,−1,57,,
8,ویمبلدون,38,15,11,12,49,46,+3,56,,
9,لستر سیتی,38,12,11,15,46,54,−8,47,مرحله اول جام یوفا 2,
10,تاتنهام هاتسپر,38,13,7,18,44,51,−7,46,,
11,لیدز یونایتد,38,11,13,14,28,38,−10,46,,
12,دربی کانتی,38,11,13,14,45,58,−13,46,,
13,بلکبرن راورز,38,9,15,14,42,43,−1,42,,
14,وستهام یونایتد,38,10,12,16,39,48,−9,42,,
15,اورتون,38,10,12,16,44,57,−13,42,,
16,ساوت‌همپتون,38,10,11,17,50,56,−6,41,,
17,کاونتری سیتی,38,9,14,15,38,54,−16,41,,
18,ساندرلند (R),38,10,10,18,35,53,−18,40,سقوط به لیگ دسته اول فوتبال انگلستان,
19,میدلزبورو (R),38,10,12,16,51,60,−9,0393,,
20,ناتینگهام فارست (R),38,6,16,16,31,59,−28,34,,
