رتبه,بازیکن,باشگاه,گل
۱,آلن شیرر,نیوکاسل یونایتد,۲۵
۲,یان رایت,آرسنال,۲۳
۳,رابی فاولر,لیورپول,۱۸
۳,اوله گانر سولسشیر,منچستر یونایتد,۱۸=
۵,دوایت یورک,استون ویلا,۱۷
۶,لس فردیناند,نیوکاسل یونایتد,۱۶
۶,فابریزیو راوانلی,میدلزبورو,۱۶
۸,دیون دابلین,کاونتری سیتی,۱۳
۸,متیو لو تیسیه,ساوت‌همپتون,۱۳
۱۰,دنیس برکمپ,آرسنال,۱۲
۱۰,استیو کلاریج,لستر سیتی,۱۲
۱۰,استن کالیمور,لیورپول,۱۲
۱۰,جونینهو پائولیستا,میدلزبورو,۱۲
