رتبه,بازیکن,باشگاه,شمار گل
۱,هری کین,تاتنهام هاتسپر,۲۵
۲,سرخیو آگوئرو,منچستر سیتی,۲۴
۲,جیمی واردی,لستر سیتی,۲۴
۴,روملو لوکاکو,اورتون,۱۸
۵,ریاض محرز,لستر سیتی,۱۷
۶,الیویه ژیرو,آرسنال,۱۶
۷,جرمین دفو,ساندرلند,۱۵
۷,اودیون ایگالو,واتفورد,۱۵
۹,تروی دینی,واتفورد,۱۳
۹,الکسیس سانچز,آرسنال,۱۳
