رتبه,دروازه‌بان,باشگاه,کلین شیت
۱,پیتر چک,آرسنال,۱۶
۲,دیوید د خیا,منچستر یونایتد,۱۵
۲,جو هارت,منچستر سیتی,۱۵
۲,کاسپر اشمایکل,لستر سیتی,۱۵
۵,هوگو لیوریس,تاتنهام هاتسپر,۱۳
۶,هیرلیو گومز,واتفورد,۱۱
۶,سایمون مینیوله,لیورپول,۱۱
۸,جک بوتلند,استوک سیتی,۱۰
۹,آدرین,وستهام یونایتد,۹
۹,ووکاش فابیانیسکی,سوانزی سیتی,۹
