Player,For,Against,Result,Date
Raheem Sterling,Manchester City,West Ham United,5–0 (A)[143],10 August 2019
Teemu Pukki,Norwich City,Newcastle United,3–1 (H)[144],17 August 2019
Tammy Abraham,Chelsea,Wolverhampton Wanderers,5–2 (A)[145],14 September 2019
Bernardo Silva,Manchester City,Watford,8–0 (H)[146],21 September 2019
Ayoze Pérez,Leicester City,Southampton,9–0 (A)[147],25 October 2019
Jamie Vardy,Leicester City,Southampton,9–0 (A)[147],25 October 2019
Christian Pulisic,Chelsea,Burnley,4–2 (A)[148],26 October 2019
Sergio Agüero,Manchester City,Aston Villa,6–1 (A)[149],12 January 2020
Anthony Martial,Manchester United,Sheffield United,3–0 (H)[150],24 June 2020
Michail Antonio4,West Ham United,Norwich City,4–0 (A)[151],11 July 2020
Raheem Sterling,Manchester City,Brighton & Hove Albion,5–0 (A)[152],11 July 2020
