Team,Manager,Captain,Kit manufacturer,Shirt sponsor (chest),Shirt sponsor (sleeve)
Arsenal,Mikel Arteta,Pierre-Emerick Aubameyang,Adidas[66],Emirates[67],Visit Rwanda[68]
Aston Villa,Dean Smith,Jack Grealish,Kappa[69],W88[70],BR88[71]
Bournemouth,Eddie Howe,Simon Francis,Umbro[72],M88[73] / Vitality[b][74],Mansion Group
Brighton & Hove Albion,Graham Potter,Lewis Dunk,Nike[75],American Express[75],JD[76]
Burnley,Sean Dyche,Ben Mee,Umbro,LoveBet[77],LoveBet[77]
Chelsea,Frank Lampard,César Azpilicueta,Nike[78],Yokohama Tyres[79] / Three[c][80],Hyundai[81]
Crystal Palace,Roy Hodgson,Luka Milivojević,Puma[82],ManBetX[83],Dongqiudi
Everton,Carlo Ancelotti,Séamus Coleman,Umbro[84],SportPesa[85],Angry Birds[86]
Leicester City,Brendan Rodgers,Wes Morgan,Adidas[87],King Power[88],Bia Saigon[89]
Liverpool,Jürgen Klopp,Jordan Henderson,New Balance[90],Standard Chartered[91],Western Union[92]
Manchester City,Pep Guardiola,David Silva,Puma[93],Etihad Airways[94],Nexen Tire[95]
Manchester United,Ole Gunnar Solskjær,Harry Maguire[96],Adidas[97],Chevrolet[98],Kohler[99]
Newcastle United,Steve Bruce,Jamaal Lascelles,Puma[100],Fun88[101],StormGain[102]
Norwich City,Daniel Farke,Grant Hanley,Erreà[103],Dafabet[104],Best Fiends[105]
Sheffield United,Chris Wilder,Billy Sharp,Adidas,Union Standard Group[106],Union Standard Group[106]
Southampton,Ralph Hasenhüttl,James Ward-Prowse,Under Armour[107],LD Sports[108],Virgin Media[109]
Tottenham Hotspur,José Mourinho,Hugo Lloris,Nike[110],AIA[111],
Watford,Hayden Mullins (interim),Troy Deeney,Adidas[112],Sportsbet.io[113],Bitcoin[114]
West Ham United,David Moyes,Mark Noble,Umbro[115],Betway[116],Scope Markets[117]
Wolverhampton Wanderers,Nuno Espírito Santo,Conor Coady,Adidas[118],ManBetX[119],CoinDeal[120]
