Award,Winner,Club
Premier League Manager of the Season,Jürgen Klopp[185],Liverpool
Premier League Player of the Season,Kevin De Bruyne[186],Manchester City
Premier League Young Player of the Season,Trent Alexander-Arnold[187],Liverpool
Premier League Goal of the Season,Son Heung-min[188],Tottenham Hotspur
PFA Players' Player of the Year,Kevin De Bruyne[189],Manchester City
PFA Young Player of the Year,Trent Alexander-Arnold[189],Liverpool
FWA Footballer of the Year,Jordan Henderson[190],Liverpool
PFA Fans' Player of the Year,Sadio Mané[191],Liverpool
