PFA Team of the Year[189],PFA Team of the Year[189].1,PFA Team of the Year[189].2,PFA Team of the Year[189].3,PFA Team of the Year[189].4,PFA Team of the Year[189].5,PFA Team of the Year[189].6,PFA Team of the Year[189].7,PFA Team of the Year[189].8,PFA Team of the Year[189].9,PFA Team of the Year[189].10,PFA Team of the Year[189].11,PFA Team of the Year[189].12
Goalkeeper,Nick Pope (Burnley),Nick Pope (Burnley),Nick Pope (Burnley),Nick Pope (Burnley),Nick Pope (Burnley),Nick Pope (Burnley),Nick Pope (Burnley),Nick Pope (Burnley),Nick Pope (Burnley),Nick Pope (Burnley),Nick Pope (Burnley),Nick Pope (Burnley)
Defenders,Trent Alexander-Arnold (Liverpool),Trent Alexander-Arnold (Liverpool),Trent Alexander-Arnold (Liverpool),Virgil van Dijk (Liverpool),Virgil van Dijk (Liverpool),Virgil van Dijk (Liverpool),Çağlar Söyüncü (Leicester City),Çağlar Söyüncü (Leicester City),Çağlar Söyüncü (Leicester City),Andrew Robertson (Liverpool),Andrew Robertson (Liverpool),Andrew Robertson (Liverpool)
Midfielders,David Silva (Manchester City),David Silva (Manchester City),David Silva (Manchester City),David Silva (Manchester City),Jordan Henderson (Liverpool),Jordan Henderson (Liverpool),Jordan Henderson (Liverpool),Jordan Henderson (Liverpool),Kevin De Bruyne (Manchester City),Kevin De Bruyne (Manchester City),Kevin De Bruyne (Manchester City),Kevin De Bruyne (Manchester City)
Forwards,Jamie Vardy (Leicester City),Jamie Vardy (Leicester City),Jamie Vardy (Leicester City),Jamie Vardy (Leicester City),Pierre-Emerick Aubameyang (Arsenal),Pierre-Emerick Aubameyang (Arsenal),Pierre-Emerick Aubameyang (Arsenal),Pierre-Emerick Aubameyang (Arsenal),Sadio Mané (Liverpool),Sadio Mané (Liverpool),Sadio Mané (Liverpool),Sadio Mané (Liverpool)
,,,,,,,,,,,,
