Team,Outgoing manager,Manner of departure,Date of vacancy,Position in table,Incoming manager,Date of appointment
Brighton & Hove Albion,Chris Hughton[121],Sacked,13 May 2019,Pre-season,Graham Potter[122],20 May 2019
Chelsea,Maurizio Sarri[123],Signed by Juventus,16 June 2019,Pre-season,Frank Lampard[124],4 July 2019
Newcastle United,Rafael Benítez[125],End of contract,30 June 2019,Pre-season,Steve Bruce[126],17 July 2019
Watford,Javi Gracia[127],Sacked,7 September 2019,20th,Quique Sánchez Flores[127],7 September 2019
Tottenham Hotspur,Mauricio Pochettino[128],Sacked,19 November 2019,14th,José Mourinho[129],20 November 2019
Arsenal,Unai Emery[130],Sacked,29 November 2019,8th,Mikel Arteta[131],20 December 2019
Watford,Quique Sánchez Flores[132],Sacked,1 December 2019,20th,Nigel Pearson[133],6 December 2019
Everton,Marco Silva[134],Sacked,5 December 2019,18th,Carlo Ancelotti[135],21 December 2019
West Ham United,Manuel Pellegrini[136],Sacked,28 December 2019,17th,David Moyes[137],29 December 2019
Watford,Nigel Pearson[138],Sacked,19 July 2020,17th,Hayden Mullins (interim)[139],19 July 2020
