Rank,Player,Club,Goals[142]
1,Jamie Vardy,Leicester City,23
2,Pierre-Emerick Aubameyang,Arsenal,22
2,Danny Ings,Southampton,22
4,Raheem Sterling,Manchester City,20
5,Mohamed Salah,Liverpool,19
6,Harry Kane,Tottenham Hotspur,18
6,Sadio Mané,Liverpool,18
8,Raúl Jiménez,Wolverhampton Wanderers,17
8,Anthony Martial,Manchester United,17
8,Marcus Rashford,Manchester United,17
