Rank,Player,Club,Clean sheets[153]
1,Ederson,Manchester City,16
2,Nick Pope,Burnley,15
3,Alisson,Liverpool,13
3,David de Gea,Manchester United,13
3,Dean Henderson,Sheffield United,13
3,Rui Patrício,Wolverhampton Wanderers,13
3,Kasper Schmeichel,Leicester City,13
8,Martin Dúbravka,Newcastle United,11
9,Vicente Guaita,Crystal Palace,10
10,Ben Foster,Watford,9
10,Jordan Pickford,Everton,9
10,Mathew Ryan,Brighton & Hove Albion,9
