Team,Manager,Captain,Kit manufacturer,Shirt sponsor
Arsenal,Arsène Wenger,Mikel Arteta,Puma[21],Emirates[22]
Aston Villa,Tim Sherwood,Fabian Delph,Macron[23],dafabet[24]
Burnley,Sean Dyche,Jason Shackell,Puma[25],FUN88
Chelsea,José Mourinho,John Terry,Adidas[26],Samsung[27]
Crystal Palace,Alan Pardew,Mile Jedinak,Macron[28],Neteller
Everton,Roberto Martínez,Phil Jagielka,Umbro[29],Chang[30]
Hull City,Steve Bruce,Curtis Davies,Umbro[31],12BET[32]
Leicester City,Nigel Pearson,Wes Morgan,Puma[33],King Power[34]
Liverpool,Brendan Rodgers,Steven Gerrard,Warrior[35],Standard Chartered[36]
Manchester City,Manuel Pellegrini,Vincent Kompany,Nike[37],Etihad Airways[38]
Manchester United,Louis van Gaal,Wayne Rooney,Nike[39],Chevrolet[40]
Newcastle United,John Carver,Fabricio Coloccini,Puma[41],Wonga[42]
Queens Park Rangers,Chris Ramsey,Clint Hill,Nike[43],AirAsia[44]
Southampton,Ronald Koeman,José Fonte,Made by club[45],Veho[46]
Stoke City,Mark Hughes,Ryan Shawcross,Warrior[47],Bet365[48]
Sunderland,Dick Advocaat,John O'Shea,Adidas[49],BFS Group[50]
Swansea City,Garry Monk,Ashley Williams,Adidas[51],GWFX[52]
Tottenham Hotspur,Mauricio Pochettino,Younès Kaboul,Under Armour[53],AIA[54]
West Bromwich Albion,Tony Pulis,Darren Fletcher,Adidas[55],Intuit QuickBooks[56]
West Ham United,Sam Allardyce,Kevin Nolan,Adidas[57],Betway[58]
