Award,Winner,Club
Premier League Manager of the Season,José Mourinho[19],Chelsea
Premier League Player of the Season,Eden Hazard[19],Chelsea
PFA Players' Player of the Year,Eden Hazard[104],Chelsea
PFA Young Player of the Year,Harry Kane[104],Tottenham Hotspur
FWA Footballer of the Year,Eden Hazard[105],Chelsea
