رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,آرسنال (C),38,23,9,6,68,33,+35,78,مرحله گروهی لیگ قهرمانان اروپا,
2,منچستر یونایتد,38,23,8,7,73,26,+47,77,مرحله دوم لیگ قهرمانان اروپا,
3,لیورپول,38,18,11,9,68,42,+26,65,مرحله اول جام یوفا,
4,چلسی,38,20,3,15,71,43,+28,63,مرحله اول جام برندگان جام اروپا 1,
5,لیدز یونایتد,38,17,8,13,57,46,+11,59,مرحله اول جام یوفا,
6,بلکبرن راورز,38,16,10,12,57,52,+5,58,مرحله اول جام یوفا,
7,استون ویلا,38,17,6,15,49,48,+1,57,مرحله اول جام یوفا,
8,وستهام یونایتد,38,16,8,14,56,57,−1,56,,
9,دربی کانتی,38,16,7,15,52,49,+3,55,,
10,لستر سیتی,38,13,14,11,51,41,+10,53,,
11,کاونتری سیتی,38,12,16,10,46,44,+2,52,,
12,ساوت‌همپتون,38,14,6,18,50,55,−5,48,,
13,نیوکاسل یونایتد,38,11,11,16,35,44,−9,44,مرحله اول جام برندگان جام اروپا 2,
14,تاتنهام هاتسپر,38,11,11,16,44,56,−12,44,,
15,ویمبلدون,38,10,14,14,34,46,−12,44,,
16,شفیلد ونزدی,38,12,8,18,52,67,−15,44,,
17,اورتون,38,9,13,16,41,56,−15,40,,
18,بولتون واندررز (R),38,9,13,16,41,61,−20,40,سقوط به لیگ دسته اول فوتبال انگلستان,
19,بارنزلی (R),38,10,5,23,37,82,−45,35,سقوط به لیگ دسته اول فوتبال انگلستان,
20,باشگاه فوتبال کریستال پالاس (R),38,8,9,21,37,71,–34,33,مرحله سوم جام اینترتوتو 3,
20,باشگاه فوتبال کریستال پالاس (R),38,8,9,21,37,71,–34,33,سقوط به لیگ دسته اول فوتبال انگلستان,
