رتبه,بازیکن,باشگاه,گل
۱,دیون دابلین,کاونتری سیتی,۱۸
۱,مایکل اوون,لیورپول,۱۸
۱,کریس ساتن,بلکبرن راورز,۱۸
۴,دنیس برکمپ,آرسنال,۱۶
۴,کوین گالاچر,بلکبرن راورز,۱۶
۴,جیمی فلوید هاسلبنک,لیدز یونایتد,۱۶
۷,اندرو کول,منچستر یونایتد,۱۵
۷,جان هارتسون,وستهام یونایتد,۱۵
۹,دارن هوکربی,کاونتری سیتی,۱۴
۱۰,پائولو وانچوپه,دربی کانتی,۱۳
