رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,باشگاه فوتبال منچستر یونایتد (C),۳۸,۲۸,۶,۴,۶۸,۲۴,۴۴+,۹۰,Qualification for the لیگ قهرمانان اروپا ۱۰–۲۰۰۹[a]
۲,باشگاه فوتبال لیورپول,۳۸,۲۵,۱۱,۲,۷۷,۲۷,۵۰+,۸۶,Qualification for the لیگ قهرمانان اروپا ۱۰–۲۰۰۹[a]
۳,باشگاه فوتبال چلسی,۳۸,۲۵,۸,۵,۶۸,۲۴,۴۴+,۸۳,Qualification for the لیگ قهرمانان اروپا ۱۰–۲۰۰۹[a]
۴,باشگاه فوتبال آرسنال,۳۸,۲۰,۱۲,۶,۶۸,۳۷,۳۱+,۷۲,Qualification for the لیگ قهرمانان اروپا ۱۰–۲۰۰۹
۵,باشگاه فوتبال اورتون,۳۸,۱۷,۱۲,۹,۵۵,۳۷,۱۸+,۶۳,Qualification for the Europa League play-off round[a]
۶,باشگاه فوتبال استون ویلا,۳۸,۱۷,۱۱,۱۰,۵۴,۴۸,۶+,۶۲,Qualification for the Europa League play-off round[a]
۷,باشگاه فوتبال فولام,۳۸,۱۴,۱۱,۱۳,۳۹,۳۴,۵+,۵۳,Qualification for the Europa League third qualifying round[a]
۸,باشگاه فوتبال تاتنهام هاتسپر,۳۸,۱۴,۹,۱۵,۴۵,۴۵,۰,۵۱,
۹,باشگاه فوتبال وستهام یونایتد,۳۸,۱۴,۹,۱۵,۴۲,۴۵,۳−,۵۱,
۱۰,باشگاه فوتبال منچستر سیتی,۳۸,۱۵,۵,۱۸,۵۸,۵۰,۸+,۵۰,
۱۱,باشگاه فوتبال ویگان اتلتیک,۳۸,۱۲,۹,۱۷,۳۴,۴۵,۱۱−,۴۵,
۱۲,باشگاه فوتبال استوک سیتی,۳۸,۱۲,۹,۱۷,۳۸,۵۵,۱۷−,۴۵,
۱۳,باشگاه فوتبال بولتون واندررز,۳۸,۱۱,۸,۱۹,۴۱,۵۳,۱۲−,۴۱,
۱۴,باشگاه فوتبال پورتسموث,۳۸,۱۰,۱۱,۱۷,۳۸,۵۷,۱۹−,۴۱,
۱۵,باشگاه فوتبال بلکبرن روورز,۳۸,۱۰,۱۱,۱۷,۴۰,۶۰,۲۰−,۴۱,
۱۶,باشگاه فوتبال ساندرلند,۳۸,۹,۹,۲۰,۳۴,۵۴,۲۰−,۳۶,
۱۷,باشگاه فوتبال هال سیتی,۳۸,۸,۱۱,۱۹,۳۹,۶۴,۲۵−,۳۵,
۱۸,باشگاه فوتبال نیوکاسل یونایتد (R),۳۸,۷,۱۳,۱۸,۴۰,۵۹,۱۹−,۳۴,Relegation to the Football League Championship
۱۹,باشگاه فوتبال میدلزبرو (R),۳۸,۷,۱۱,۲۰,۲۸,۵۷,۲۹−,۳۲,Relegation to the Football League Championship
۲۰,باشگاه فوتبال وست برومویچ آلبیون (R),۳۸,۸,۸,۲۲,۳۶,۶۷,۳۱−,۳۲,Relegation to the Football League Championship
