رتبه,بازیکن,باشگاه,گل[۱]
1,نیکولا آنلکا,چلسی,۱۹
۲,کریستیانو رونالدو,منچستر یونایتد,۱۸
۳,استیون جرارد,لیورپول,۱۶
۴,روبینیو,منچستر سیتی,۱۴
۴,فرناندو تورس,لیورپول,۱۴
۶,گابریل آگبونلاهور,استون ویلا,۱۲
۶,دارن بنت,تاتنهام,۱۲
۶,کوین دیویس,بولتون,۱۲
۶,درک کویت,لیورپول,۱۲
۶,فرانک لمپارد,چلسی,۱۲
۶,وین رونی,منچستر یونایتد,12
