رتبه,بازیکن,باشگاه,گل
۱,کوین فیلیپس,ساندرلند,۳۰
۲,آلن شیرر,نیوکاسل,۲۳
۳,دوایت یورک,منچستر یونایتد,۲۰
۴,مایکل بریجز,لیدز یونایتد,۱۹
۴,اندرو کول,منچستر یونایتد,۱۹
۶,تیری آنری,آرسنال,۱۷
۷,پائولو دی کانیو,وستهام یونایتد,۱۶
۸,کریس آرمسترانگ,تاتنهام,۱۴
۸,استفن ایورسن,تاتنهام,۱۴
۸,نیال کوین,ساندرلند,۱۴
