رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,جایگاه,توضیحات
1,منچستر یونایتد (C),38,28,7,3,97,45,+52,91,مرحله گروهی لیگ قهرمانان اروپا,
2,آرسنال,38,22,7,9,73,43,+30,73,مرحله گروهی لیگ قهرمانان اروپا,
3,لیدز یونایتد,38,21,6,11,58,43,+15,69,مرحله سوم لیگ قهرمانان اروپا,
4,لیورپول,38,19,10,9,51,30,+21,67,مرحله اول جام یوفا 1,
5,چلسی,38,18,11,9,53,34,+19,65,مرحله اول جام یوفا 1,
6,استون ویلا,38,15,13,10,46,35,+11,58,مرحله سوم جام اینترتوتو,
7,ساندرلند,38,16,10,12,57,56,+1,58,,
8,لستر سیتی,38,16,7,15,55,55,0,55,مرحله اول جام یوفا 2,
9,وستهام یونایتد,38,15,10,13,52,53,−1,55,,
10,تاتنهام هاتسپر,38,15,8,15,57,49,+8,53,,
11,نیوکاسل یونایتد,38,14,10,14,63,54,+9,52,,
12,میدلزبورو,38,14,10,14,46,52,−6,52,,
13,اورتون,38,12,14,12,59,49,+10,50,,
14,کاونتری سیتی,38,12,8,18,47,54,−7,44,,
15,ساوت‌همپتون,38,12,8,18,45,62,−17,44,,
16,دربی کانتی,38,9,11,18,44,57,−13,38,,
17,برادفورد سیتی,38,9,9,20,38,68,−30,36,مرحله دوم جام اینترتوتو,
18,ویمبلدون (R),38,7,12,19,46,74,−28,33,سقوط به لیگ دسته اول فوتبال انگلستان,
19,شفیلد ونزدی (R),38,8,7,23,38,70,−32,31,سقوط به لیگ دسته اول فوتبال انگلستان,
20,واتفورد (R),38,6,6,26,35,77,−42,24,سقوط به لیگ دسته اول فوتبال انگلستان,
