رتبه,بازیکن,باشگاه,گل
۱,آلن شیرر,بلکبرن راورز,۳۱
۲,رابی فاولر,لیورپول,۲۸
۳,لس فردیناند,نیوکاسل یونایتد,۲۵
۴,دوایت یورک,استون ویلا,۱۷
۵,آندری کانچلسکیس,اورتون,۱۶
۵,تدی شرینگهام,تاتنهام هاتسپر,۱۶
۷,کریس آرمسترانگ,تاتنهام هاتسپر,۱۵
۷,یان رایت,آرسنال,۱۵
۹,اریک کانتونا,منچستر یونایتد,۱۴
۹,استن کالیمور,لیورپول,۱۴
۹,دیون دابلین,کاونتری سیتی,۱۴
